sample,trophic_prediction
altemp_AM,Phot
altemp_PM,Phot
amphora_cont_2,Phot
amphora_cont_3,Phot
amphora_H2O2_1,Phot
amphora_H2O2_2,Phot
amphora_H2O2_3,Phot
amphora_no_Fe_1,Phot
amphora_no_Fe_2,Phot
amphora_no_Fe_3,Phot
chaetoceros_cont_1,Phot
chaetoceros_cont_3,Phot
chaetoceros_H2O2_1,Phot
chaetoceros_no_Fe_1,Phot
chaetoceros_no_Fe_2,Phot
cristatum_f/2_day11_r1,Phot
cristatum_f/2_day11_r2,Phot
cristatum_f/2_day11_r3,Phot
cristatum_f/2_day11_r4,Phot
cristatum_f/2_day11_r5,Phot
cristatum_f/20_day11_r1,Phot
cristatum_f/20_day11_r2,Phot
cristatum_f/20_day11_r3,Phot
cristatum_f/20_day11_r4,Phot
cristatum_f/20_day11_r5,Phot
cristatum_f/20_day16_r1,Phot
cristatum_f/20_day16_r2,Phot
cristatum_f/20_day16_r3,Phot
cristatum_f/20_day16_r4,Phot
cristatum_f/20_day16_r5,Phot
cylindrotheca_cont_1,Phot
cylindrotheca_H2O2_1,Phot
cylindrotheca_H2O2_2,Phot
cylindrotheca_H2O2_3,Phot
cylindrotheca_no_Fe_1,Phot
cylindrotheca_no_Fe_2,Phot
kbha_AM,Mix
kbha_PM,Mix
micpol_hn_1,Mix
micpol_hn_2,Mix
micpol_hn_3,Mix
micpol_hn_4,Mix
micpol_ln_1,Mix
micpol_ln_2,Mix
micpol_ln_3,Mix
micpol_ln_4,Mix
nitz,Het
O1393D_r1,Mix
O1393D_r2,Mix
O1393D_r3,Mix
O1393D_r4,Mix
O1393L_r1,Mix
O1393L_r2,Mix
O1393L_r3,Mix
O1393L_r4,Mix
O1393LB_r1,Mix
O1393LB_r2,Mix
O1393LB_r3,Mix
O1393LB_r4,Mix
OchrD_r1,Mix
OchrD_r2,Mix
OchrD_r3,Mix
OchrL_r1,Mix
OchrL_r2,Mix
OchrL_r3,Mix
OchrLB_r1,Mix
OchrLB_r2,Mix
OchrLB_r3,Mix
PyrHN_r1,Phot
PyrHN_r2,Phot
PyrHN_r3,Phot
PyrHN_r4,Phot
PyrLN_r1,Phot
PyrLN_r2,Mix
PyrLN_r3,Mix
PyrLN_r4,Phot
